ts_code,exchange,name,per_unit,opt_code,opt_type,call_put,exercise_type,exercise_price,s_month,maturity_date,list_price,list_date,delist_date,last_edate,last_ddate,quote_unit,min_price_chg
HO2612-P-3400.CFX,CFFEX,上证50指数期权2612认沽3400,100.0,OP000016.SH,指数期权,P,欧式,3400.0,202612,20261218,494.6,20251222,20261218,20261218,,指数点,0.2
MO2612-C-9000.CFX,CFFEX,中证1000指数期权2612认购9000,100.0,OP000852.SH,指数期权,C,欧式,9000.0,202612,20261218,305.0,20260112,20261218,20261218,,指数点,0.2
MO2612-P-9000.CFX,CFFEX,中证1000指数期权2612认沽9000,100.0,OP000852.SH,指数期权,P,欧式,9000.0,202612,20261218,1669.2,20260112,20261218,20261218,,指数点,0.2
HO2612-C-2500.CFX,CFFEX,上证50指数期权2612认购2500,100.0,OP000016.SH,指数期权,C,欧式,2500.0,202612,20261218,398.6,20260323,20261218,20261218,,指数点,0.2
HO2612-P-2500.CFX,CFFEX,上证50指数期权2612认沽2500,100.0,OP000016.SH,指数期权,P,欧式,2500.0,202612,20261218,26.6,20260323,20261218,20261218,,指数点,0.2
HO2612-C-2600.CFX,CFFEX,上证50指数期权2612认购2600,100.0,OP000016.SH,指数期权,C,欧式,2600.0,202612,20261218,418.2,20260305,20261218,20261218,,指数点,0.2
HO2612-P-2600.CFX,CFFEX,上证50指数期权2612认沽2600,100.0,OP000016.SH,指数期权,P,欧式,2600.0,202612,20261218,48.2,20260305,20261218,20261218,,指数点,0.2
IO2612-C-5400.CFX,CFFEX,沪深300指数期权2612认购5400,100.0,OP000300.SH,指数期权,C,欧式,5400.0,202612,20261218,157.4,20260107,20261218,20261218,,指数点,0.2
IO2612-P-5400.CFX,CFFEX,沪深300指数期权2612认沽5400,100.0,OP000300.SH,指数期权,P,欧式,5400.0,202612,20261218,834.0,20260107,20261218,20261218,,指数点,0.2
MO2612-C-8400.CFX,CFFEX,中证1000指数期权2612认购8400,100.0,OP000852.SH,指数期权,C,欧式,8400.0,202612,20261218,179.4,20251225,20261218,20261218,,指数点,0.2
MO2612-P-8400.CFX,CFFEX,中证1000指数期权2612认沽8400,100.0,OP000852.SH,指数期权,P,欧式,8400.0,202612,20261218,1994.8,20251225,20261218,20261218,,指数点,0.2
MO2612-C-6400.CFX,CFFEX,中证1000指数期权2612认购6400,100.0,OP000852.SH,指数期权,C,欧式,6400.0,202612,20261218,666.8,20251222,20261218,20261218,,指数点,0.2
MO2612-C-6600.CFX,CFFEX,中证1000指数期权2612认购6600,100.0,OP000852.SH,指数期权,C,欧式,6600.0,202612,20261218,580.6,20251222,20261218,20261218,,指数点,0.2
MO2612-C-9600.CFX,CFFEX,中证1000指数期权2612认购9600,100.0,OP000852.SH,指数期权,C,欧式,9600.0,202612,20261218,221.8,20260302,20261218,20261218,,指数点,0.2
MO2612-C-6800.CFX,CFFEX,中证1000指数期权2612认购6800,100.0,OP000852.SH,指数期权,C,欧式,6800.0,202612,20261218,503.6,20251222,20261218,20261218,,指数点,0.2
MO2612-P-9600.CFX,CFFEX,中证1000指数期权2612认沽9600,100.0,OP000852.SH,指数期权,P,欧式,9600.0,202612,20261218,1739.8,20260302,20261218,20261218,,指数点,0.2
MO2612-C-7000.CFX,CFFEX,中证1000指数期权2612认购7000,100.0,OP000852.SH,指数期权,C,欧式,7000.0,202612,20261218,435.2,20251222,20261218,20261218,,指数点,0.2
