ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
IC1511.CFX,IC1511,CFFEX,IC1511,IC,200,张,1,指数点,0.2指数点,现金交割,20150921,20151120,201511,20151120
IF2404.CFX,IF2404,CFFEX,IF2404,IF,300,张,1,指数点,0.2指数点,现金交割,20240220,20240419,202404,20240419
IF2312.CFX,IF2312,CFFEX,IF2312,IF,300,张,1,指数点,0.2指数点,现金交割,20230424,20231215,202312,20231215
IC1907.CFX,IC1907,CFFEX,IC1907,IC,200,张,1,指数点,0.2指数点,现金交割,20190520,20190719,201907,20190719
IF1907.CFX,IF1907,CFFEX,IF1907,IF,300,张,1,指数点,0.2指数点,现金交割,20190520,20190719,201907,20190719
IH1907.CFX,IH1907,CFFEX,IH1907,IH,300,张,1,指数点,0.2指数点,现金交割,20190520,20190719,201907,20190719
TL2506.CFX,TL2506,CFFEX,TL2506,TL,10000,张,1,人民币元,0.01人民币元,实物交割,20240918,20250613,202506,20250618
IF2408.CFX,IF2408,CFFEX,IF2408,IF,300,张,1,指数点,0.2指数点,现金交割,20240624,20240816,202408,20240816
TF1706.CFX,TF1706,CFFEX,TF1706,TF,10000,张,1,人民币元,0.005人民币元,实物交割,20160912,20170609,201706,20170614
IH2207.CFX,IH2207,CFFEX,IH2207,IH,300,张,1,指数点,0.2指数点,现金交割,20220523,20220715,202207,20220715
TS2303.CFX,TS2303,CFFEX,TS2303,TS,20000,张,1,人民币元,0.002人民币元,实物交割,20220613,20230310,202303,20230315
IH2409.CFX,IH2409,CFFEX,IH2409,IH,300,张,1,指数点,0.2指数点,现金交割,20240122,20240920,202409,20240920
IC2006.CFX,IC2006,CFFEX,IC2006,IC,200,张,1,指数点,0.2指数点,现金交割,20191021,20200619,202006,20200619
IF2006.CFX,IF2006,CFFEX,IF2006,IF,300,张,1,指数点,0.2指数点,现金交割,20191021,20200619,202006,20200619
IH2006.CFX,IH2006,CFFEX,IH2006,IH,300,张,1,指数点,0.2指数点,现金交割,20191021,20200619,202006,20200619
IM2501.CFX,IM2501,CFFEX,IM2501,IM,200,张,1,指数点,0.2指数点,现金交割,20241118,20250117,202501,20250117
IF2303.CFX,IF2303,CFFEX,IF2303,IF,300,张,1,指数点,0.2指数点,现金交割,20220718,20230317,202303,20230317
IH1512.CFX,IH1512,CFFEX,IH1512,IH,300,张,1,指数点,0.2指数点,现金交割,20150416,20151218,201512,20151218
